ToxPi Score,FIPS,Name,Source,Transportation Sources!1!0x88cceeff,Exposures & Risks!1!0x44aa99ff,Pollution Sources!1!0x117733ff,Criteria Air Pollutants!1!0x332288ff,Land Use!1!0xddcc77ff
0.549271376501986,01,AL,"+32.7396323,-086.8434593",0.900662251655629,0.426608808772805,0.247572815533981,0.72,0.451513006547514
0.211057199425633,02,AK,"+63.3461910,-152.8370679",0.437086092715232,0.0838821532803027,0.201456310679612,0,0.332861440453017
0.660316679503904,04,AZ,"+34.2099643,-111.6024010",0.529801324503311,0.550496915135398,0.303398058252427,0.98,0.937887099628385
0.355943526054758,05,AR,"+34.8955256,-092.4446262",0.56953642384106,0.39896650605321,0.283980582524272,0.4,0.127234117855247
0.757599824234985,06,CA,"+37.1485730,-119.5406515",0.231788079470199,0.77701242920724,0.919902912621359,0.88,0.979295699876128
0.626391972756274,08,CO,"+38.9935752,-105.5077737",0.357615894039735,0.529823711277199,0.497572815533981,1,0.746947442930455
0.512032973685133,09,CT,"+41.5797842,-072.7466666",0.291390728476821,0.597356485542799,0.645631067961165,0.72,0.305786586444877
0.693701484074734,10,DE,"+38.9935501,-075.4473739",0.960264900662252,0.673427906609173,0.672330097087379,0.7,0.462484516014865
0.556940774772392,11,DC,"+38.9041485,-077.0170942",0.0132450331125828,0.760749661344751,0.696601941747573,0.52,0.794107237657052
0.451463982306442,12,FL,"+28.4574302,-082.4091478",0.589403973509934,0.27374009836506,0.45873786407767,0.16,0.775437975579543
0.617024538518185,13,GA,"+32.6293840,-083.4232125",1,0.672199247475103,0.298543689320388,0.86,0.254379755795434
0.326671899425946,15,HI,"+19.8097670,-155.5061027",0.71523178807947,0.0862206490402589,0.349514563106796,0,0.482392496903203
0.459873451760153,16,ID,"+44.3020948,-114.5956254",0.602649006622517,0.260141136348589,0.160194174757282,0.84,0.436382941072377
0.625998092097561,17,IL,"+40.1028754,-089.1526108",0.317880794701987,0.919732425225251,0.973300970873786,0.2,0.719076269686781
0.564248775230267,18,IN,"+39.9030256,-086.2839503",0.708609271523179,0.5394138841783,0.786407766990291,0.28,0.506812953459565
0.338436616938237,19,IA,"+42.0700243,-093.4933473",0.589403973509934,0.103727718954084,0.427184466019417,0.12,0.451866926207751
0.562047832345009,20,KS,"+38.4985464,-098.3834298",0.635761589403974,0.372994408416754,0.669902912621359,0.56,0.571580251282959
0.504362454755833,21,KY,"+37.5336807,-085.2929841",0.920529801324504,0.500754599563359,0.37621359223301,0.6,0.124314280658291
0.580897315292112,22,LA,"+30.8577705,-091.8032730",0.774834437086093,0.563630385341761,0.616504854368932,0.22,0.729516899663776
0.212777772554979,23,ME,"+45.3906022,-068.6574869",0.483443708609272,0.158293322631381,0,0.08,0.342151831534242
0.587810007941696,24,MD,"+38.9466584,-076.6744939",0.85430463576159,0.5318932066384,0.470873786407767,0.76,0.321978410900726
0.599750804819431,25,MA,"+42.1565196,-071.4895915",0.675496688741722,0.694341652419343,0.815533980582524,0.42,0.393381702353566
0.698421513964084,26,MI,"+44.8410835,-085.6593197",0.867549668874172,0.676018850378685,0.771844660194175,0.5,0.676694390373385
0.464391260308625,27,MN,"+46.3161343,-094.1994801",0.602649006622517,0.617892904822114,0.589805825242718,0.1,0.411608564855778
0.412829181108859,28,MS,"+32.6864655,-089.6561493",0.768211920529802,0.311102655221501,0.230582524271845,0.26,0.494248805521147
0.573270129135833,29,MO,"+38.3507500,-092.4567826",0.860927152317881,0.580255355751824,0.643203883495146,0.38,0.401964254114316
0.421287326841407,30,MT,"+47.0511771,-109.6348174",0.662251655629139,0.162918856764248,0.356796116504854,0.68,0.244470005308795
0.452125501047016,31,NE,"+41.5438105,-099.8123253",0.529801324503311,0.227935911288952,0.614077669902913,0.18,0.708812599539904
0.593364632679436,32,NV,"+39.3310928,-116.6151469",0,0.543813454659315,0.483009708737864,0.94,1
0.361440842148324,33,NH,"+43.6708595,-071.5811278",0.688741721854305,0.357200352964988,0.54126213592233,0.22,0
0.68924995173797,34,NJ,"+40.1072744,-074.6652012",0.271523178807947,1,0.987864077669903,0.46,0.726862502211998
0.466892744580868,35,NM,"+34.4391265,-106.1261511",0.403973509933775,0.149032373220575,0.281553398058252,0.96,0.539904441691736
0.645914205752783,36,NY,"+42.9133974,-075.5962723",0.0927152317880795,0.854611276287858,0.973300970873786,0.34,0.968943549814192
0.547682063512519,37,NC,"+35.5397100,-079.1308636",0.986754966887417,0.426319273032762,0.271844660194175,0.78,0.273491417448239
0.407901882551308,38,ND,"+47.4569538,-100.4619304",0.675496688741722,0.0107147081983909,0.385922330097087,0.14,0.827375685719342
0.554333724952569,39,OH,"+40.4149297,-082.7119975",0.251655629139073,0.620932087184162,0.776699029126214,0.58,0.542381879313396
0.519710814853682,40,OK,"+35.5894185,-097.4868683",0.450331125827815,0.514680728058604,0.385922330097087,0.8,0.447619890284905
0.491445904429608,41,OR,"+43.9715225,-120.6226269",0.490066225165563,0.869443896859121,0.54126213592233,0.04,0.516457264201026
0.700982071158954,42,PA,"+40.9042486,-077.8280624",0.28476821192053,0.905659751377336,1,0.64,0.674482392496903
