row#,Name,FIPS,Source,ToxPi Score,Costs of Climate Disasters,Transition Risks,Social Stressors,Economic & Productivity Losses
61631,"TX, Anderson, 48001950100",48001950100,"+31.9714680,-095.5524440",0.404275178631048,0.0273736937799985,0.753895876815543,0.129191076844822,0.706640067083829
61632,"TX, Anderson, 48001950401",48001950401,"+31.7346372,-095.8157096",0.370745839016766,0.0273736937799985,0.73154190102251,0.129191076844822,0.594876684419733
61633,"TX, Anderson, 48001950402",48001950402,"+31.7999975,-095.9123872",0.382688517147242,0.0273736937799985,0.71251561501169,0.129191076844822,0.661673682952458
61634,"TX, Anderson, 48001950500",48001950500,"+31.7878081,-095.6419012",0.380640320800246,0.0273736937799985,0.723495845131187,0.129191076844822,0.642500667444976
61635,"TX, Anderson, 48001950600",48001950600,"+31.7502049,-095.6692087",0.382067141411661,0.0273736937799985,0.713910111877945,0.129191076844822,0.657793683143878
61636,"TX, Anderson, 48001950700",48001950700,"+31.7516003,-095.6340970",0.354881660180155,0.0273736937799985,0.714895811032723,0.129191076844822,0.548066059063076
61637,"TX, Anderson, 48001950800",48001950800,"+31.7394653,-095.6143534",0.375647106883501,0.0273736937799985,0.715522379487697,0.129191076844822,0.630501277421487
61638,"TX, Anderson, 48001950901",48001950901,"+31.7062457,-095.7358730",0.388317556200404,0.0273736937799985,0.693172224234024,0.129191076844822,0.703533229942772
61639,"TX, Anderson, 48001950902",48001950902,"+31.7878409,-095.5053418",0.400230892523894,0.0273736937799985,0.738101767102947,0.129191076844822,0.706257032367809
61640,"TX, Anderson, 48001951000",48001951000,"+31.6232277,-095.5131055",0.40762510580176,0.0273736937799985,0.757811929659135,0.129191076844822,0.716123722923083
61641,"TX, Anderson, 48001951100",48001951100,"+31.9219100,-095.8429741",0.408712698679529,0.0273736937799985,0.773029137928431,0.129191076844822,0.705256886164866
61642,"TX, Andrews, 48003950100",48003950100,"+32.3588247,-102.7169259",0.406166672910777,0.0273736937799985,0.653063868517129,0.227304166113363,0.716924963232618
61643,"TX, Andrews, 48003950200",48003950200,"+32.3283796,-102.5538031",0.390716119380085,0.0273736937799985,0.60608651655146,0.227304166113363,0.70210010107552
61644,"TX, Andrews, 48003950300",48003950300,"+32.3148521,-102.5485167",0.381591854138579,0.0273736937799985,0.60608651655146,0.227304166113363,0.665603040109495
61645,"TX, Andrews, 48003950400",48003950400,"+32.1765480,-102.4688186",0.414568005502589,0.0273736937799985,0.62394371751824,0.227304166113363,0.779650444598753
61646,"TX, Angelina, 48005000101",48005000101,"+31.4337680,-094.8475538",0.421675365029444,0.111241224376416,0.778773701209326,0.0513968867609708,0.745289647771062
61647,"TX, Angelina, 48005000102",48005000102,"+31.3158203,-094.8802824",0.382011017705495,0.111241224376416,0.63887319093941,0.0513968867609708,0.726532768745182
61648,"TX, Angelina, 48005000200",48005000200,"+31.3705581,-094.6762150",0.415465319419885,0.111241224376416,0.768588143276626,0.0513968867609708,0.730635023265528
61649,"TX, Angelina, 48005000301",48005000301,"+31.3711414,-094.7745767",0.396425737147912,0.111241224376416,0.719261159604802,0.0513968867609708,0.703803677849459
61650,"TX, Angelina, 48005000302",48005000302,"+31.2784248,-094.7824619",0.377554576783256,0.111241224376416,0.653624293406835,0.0513968867609708,0.693955902588803
61651,"TX, Angelina, 48005000400",48005000400,"+31.3411933,-094.7538471",0.395197976952598,0.111241224376416,0.704880649455259,0.0513968867609708,0.713273147217749
61652,"TX, Angelina, 48005000500",48005000500,"+31.3708474,-094.7362500",0.381550397131845,0.111241224376416,0.705331473099692,0.0513968867609708,0.658232004290302
61653,"TX, Angelina, 48005000600",48005000600,"+31.3505991,-094.6970483",0.383399895637197,0.111241224376416,0.670503436297557,0.0513968867609708,0.700458035113846
61654,"TX, Angelina, 48005000700",48005000700,"+31.3365433,-094.7258312",0.343321599255977,0.111241224376416,0.704880649455259,0.0513968867609708,0.505767636431262
61655,"TX, Angelina, 48005000800",48005000800,"+31.3110999,-094.7054197",0.396188954617496,0.111241224376416,0.688754152818377,0.0513968867609708,0.733363554514219
61656,"TX, Angelina, 48005000901",48005000901,"+31.3124968,-094.7523980",0.399009268266553,0.111241224376416,0.704823341364865,0.0513968867609708,0.72857562056396
61657,"TX, Angelina, 48005000902",48005000902,"+31.2823915,-094.7246988",0.380758981675357,0.111241224376416,0.667955136544703,0.0513968867609708,0.692442679019338
61658,"TX, Angelina, 48005001001",48005001001,"+31.2065934,-094.8086815",0.384022252977182,0.111241224376416,0.651240276846443,0.0513968867609708,0.722210623924899
61659,"TX, Angelina, 48005001002",48005001002,"+31.1574825,-094.7131134",0.386812904432891,0.111241224376416,0.663313181222786,0.0513968867609708,0.721300325371393
61660,"TX, Angelina, 48005001100",48005001100,"+31.3337808,-094.5852421",0.428585222217511,0.111241224376416,0.816509168464118,0.0513968867609708,0.73519360926854
61661,"TX, Angelina, 48005001200",48005001200,"+31.1390364,-094.3552215",0.366491771111819,0.111241224376416,0.614692997332487,0.0513968867609708,0.688635975977403
61662,"TX, Angelina, 48005001300",48005001300,"+31.1891367,-094.5136193",0.383255996118233,0.111241224376416,0.637956261493106,0.0513968867609708,0.73242961184244
61663,"TX, Aransas, 48007950100",48007950100,"+28.1951717,-096.9358509",0.569527064281929,0.628537377613717,0.660362076506021,0.0963729212879063,0.892835881720072
61664,"TX, Aransas, 48007950200",48007950200,"+28.0335099,-097.0258751",0.577858896486669,0.628537377613717,0.786894519556688,0.0963729212879063,0.799630767488362
61665,"TX, Aransas, 48007950300",48007950300,"+28.0420659,-097.0703842",0.57650454061401,0.628537377613717,0.794405699937666,0.0963729212879063,0.78670216361675
61666,"TX, Aransas, 48007950400",48007950400,"+28.0171641,-097.0709140",0.582555514019526,0.628537377613717,0.793622489368948,0.0963729212879063,0.811689267807534
61667,"TX, Aransas, 48007950500",48007950500,"+27.9898056,-097.1250460",0.585280832303788,0.628537377613717,0.732830067078956,0.0963729212879063,0.883382963234573
61668,"TX, Aransas, 48007990000",48007990000,"+27.9305294,-096.9381146",0.442167618303876,0.628537377613717,0.630890435886049,0.0963729212879063,0.41286973842783
61669,"TX, Archer, 48009020100",48009020100,"+33.7905536,-098.5260054",0.400765321435475,0.00586104573826251,0.784132395705616,0.104835363378996,0.708232480919024
61670,"TX, Archer, 48009020200",48009020200,"+33.6476029,-098.7808839",0.377832327943354,0.00586104573826251,0.720997982788189,0.104835363378996,0.679634919867971
61671,"TX, Archer, 48009020300",48009020300,"+33.5246510,-098.5853305",0.384327649379798,0.00586104573826251,0.730560792805273,0.104835363378996,0.696053395596661
61672,"TX, Armstrong, 48011950100",48011950100,"+34.9641790,-101.3566363",0.375718849140082,0.00586104573826251,0.547960294201673,0.293507027025809,0.655547029594582
61673,"TX, Atascosa, 48013960100",48013960100,"+28.8781528,-098.3319339",0.473081205905814,0.111241224376416,0.858114735459473,0.0604802939330041,0.862488569854363
61674,"TX, Atascosa, 48013960201",48013960201,"+29.1199892,-098.7546429",0.465547953653937,0.111241224376416,0.838496265847915,0.0604802939330041,0.851974030458411
61675,"TX, Atascosa, 48013960202",48013960202,"+29.0805454,-098.6307670",0.45644270264765,0.111241224376416,0.805903244571148,0.0604802939330041,0.848146047710031
61676,"TX, Atascosa, 48013960300",48013960300,"+29.0371934,-098.5854561",0.415485706592776,0.111241224376416,0.706916890303213,0.0604802939330041,0.783304417758473
61677,"TX, Atascosa, 48013960401",48013960401,"+29.1036654,-098.5150634",0.405740987608757,0.111241224376416,0.724208651444773,0.0604802939330041,0.727033780680836
61678,"TX, Atascosa, 48013960402",48013960402,"+28.9812134,-098.5122283",0.454311305750545,0.111241224376416,0.800650002951695,0.0604802939330041,0.844873701741064
61679,"TX, Atascosa, 48013960500",48013960500,"+28.8314705,-098.7195364",0.428286245608549,0.111241224376416,0.790246674275498,0.0604802939330041,0.751176789849278
61680,"TX, Atascosa, 48013960600",48013960600,"+28.8045739,-098.5228207",0.459409335933108,0.111241224376416,0.835164755526342,0.0604802939330041,0.83075106989667
61681,"TX, Austin, 48015760100",48015760100,"+29.6617125,-096.1047804",0.486337870383804,0.198535212481355,0.792038873763561,0.0922078434978893,0.862569551792409
61682,"TX, Austin, 48015760200",48015760200,"+29.7838198,-096.1069262",0.505832328615984,0.198535212481355,0.799221487759613,0.0922078434978893,0.933364770725079
61683,"TX, Austin, 48015760300",48015760300,"+29.7925573,-096.2521104",0.500404477007188,0.198535212481355,0.766158540141615,0.0922078434978893,0.944716311907891
61684,"TX, Austin, 48015760400",48015760400,"+29.9608477,-096.4470209",0.492695346963869,0.198535212481355,0.771041189443186,0.0922078434978893,0.908997142433045
61685,"TX, Austin, 48015760501",48015760501,"+30.0308287,-096.2726070",0.489540050128101,0.198535212481355,0.757982585912066,0.0922078434978893,0.909434558621093
61686,"TX, Austin, 48015760502",48015760502,"+29.9392898,-096.1788755",0.493466587885252,0.198535212481355,0.760183216583197,0.0922078434978893,0.922940078978564
61687,"TX, Bailey, 48017950100",48017950100,"+34.0675209,-102.8303446",0.456063036867479,0.111241224376416,0.737580102764077,0.231380784089416,0.744050036240008
61688,"TX, Bandera, 48019000101",48019000101,"+29.6824133,-099.1349521",0.424562209620895,0.0273736937799985,0.674275520381044,0.226466845986173,0.770132778336366
61689,"TX, Bandera, 48019000102",48019000102,"+29.7834036,-099.0515872",0.427913989777894,0.0273736937799985,0.676777973661583,0.226466845986173,0.78103744568382
61690,"TX, Bandera, 48019000200",48019000200,"+29.7597657,-099.3923979",0.42864721239296,0.0273736937799985,0.680304331490496,0.226466845986173,0.780443978315171
61691,"TX, Bandera, 48019000300",48019000300,"+29.6690170,-098.9230498",0.426113254899804,0.0273736937799985,0.680441870907442,0.226466845986173,0.770170608925603
61692,"TX, Bandera, 48019000400",48019000400,"+29.5802464,-098.9497483",0.391273021990896,0.0273736937799985,0.671173242421047,0.226466845986173,0.640078305776366
61693,"TX, Bastrop, 48021950100",48021950100,"+30.2837407,-097.3403844",0.459673397114211,0.0273736937799985,0.840877040624633,0.0709216315495666,0.899521222502647
61694,"TX, Bastrop, 48021950200",48021950200,"+30.3542454,-097.3737427",0.420861932043897,0.0273736937799985,0.714344597573965,0.0709216315495666,0.870807805272056
61695,"TX, Bastrop, 48021950300",48021950300,"+30.0824826,-097.4146099",0.442162608610063,0.0273736937799985,0.752828890543239,0.0709216315495666,0.917526218567448
61696,"TX, Bastrop, 48021950400",48021950400,"+30.1078302,-097.3091595",0.425178618957874,0.0273736937799985,0.718096367225095,0.0709216315495666,0.884322783276837
61697,"TX, Bastrop, 48021950501",48021950501,"+30.2176551,-097.2874520",0.410988073670149,0.0273736937799985,0.696961143487775,0.0709216315495666,0.848695825863255
